,Aktie,Senast,+/-,%,Köp,Sälj,Högst,Lägst,Omsatt,Valuta,Tid
0,AAK AB,"181,05","1,50","0,84%","181,05","181,05","181,30","179,05",50 479 166,SEK,18:00 
1,ABB Ltd,"213,60","1,60","0,75%","213,60","213,60","214,40","212,70",303 779 225,SEK,18:00 
2,Addtech AB ser. B,"267,00","0,50","0,19%","267,00","267,00","268,50","264,00",23 771 144,SEK,18:00 
3,Ahlstrom-Munksjö Oyj,"149,80","0,40","0,27%","149,80","149,80","150,80","149,40",120 809,SEK,18:00 
4,Alfa Laval AB,"233,50","1,70","0,73%","233,50","233,50","235,60","231,10",173 362 416,SEK,18:00 
5,Arion Banki hf SDB,"6,15","0,05","0,82%","6,15","6,15","6,20","6,00",48 086 580,SEK,18:00 
6,Arjo AB ser. B,"41,50","0,28","0,68%","41,50","41,50","41,70","41,00",7 534 589,SEK,17:29 
7,ASSA ABLOY AB ser. B,"227,60","1,40","0,62%","227,60","227,60","229,40","225,30",487 567 244,SEK,18:00 
8,AstraZeneca PLC,"908,10","-10,20","-1,11%","908,10","908,10","928,00","901,30",396 050 228,SEK,18:00 
9,Atlas Copco AB ser. A,"363,80","3,50","0,97%","363,80","363,80","366,00","359,40",535 622 905,SEK,18:00 
10,Atlas Copco AB ser. B,"318,10","2,60","0,82%","318,10","318,10","320,50","314,80",197 292 468,SEK,18:00 
11,Atrium Ljungberg AB ser. B,"207,00","2,00","0,98%","207,00","207,00","208,00","204,00",17 870 283,SEK,18:00 
12,Attendo AB,"49,38","1,10","2,28%","49,38","49,38","49,94","48,14",9 677 266,SEK,18:00 
13,Autoliv Inc. SDB,"809,40","7,80","0,97%","809,40","809,40","814,20","800,00",188 933 101,SEK,18:00 
14,Avanza Bank Holding AB,"86,30","0,10","0,12%","86,30","86,30","87,00","85,00",10 419 191,SEK,18:00 
15,Axfood AB,"208,40","-1,20","-0,57%","208,40","208,40","210,30","207,60",26 695 130,SEK,18:00 
16,Beijer Ref AB ser. B,"253,00","1,20","0,48%","253,00","253,00","254,20","249,40",26 165 519,SEK,18:00 
17,Betsson AB ser. B,"47,95","0,20","0,42%","47,95","47,95","48,60","47,35",12 122 698,SEK,18:00 
18,BillerudKorsnäs AB,"112,80","0,80","0,71%","112,80","112,80","112,90","111,65",85 321 002,SEK,18:00 
19,Boliden AB,"263,50","4,20","1,62%","263,50","263,50","263,60","259,15",368 577 126,SEK,18:00 
20,Bonava AB ser. A,"95,00","-1,00","-1,04%","95,00","95,00","97,80","94,80",47 409,SEK,18:00 
21,Bonava AB ser. B,"93,65","-0,20","-0,21%","93,65","93,65","94,25","93,00",7 638 975,SEK,18:00 
